"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Полный сценарий оформления заказа самоката с корректными данными","3392","Оформление заказа с валидными данными: Мария Сидорова","tests","2026-05-24","passed","2026-05-24","TestOrderFlow","test_order_page","",""
"Проверяет переход на главную страницу при клике по логотипу самоката в шапке сайта","454","Переход по логотипу самоката","tests","2026-05-24","passed","2026-05-24","TestTransitions","test_transition","",""
"Полный сценарий оформления заказа самоката с корректными данными","3656","Оформление заказа с валидными данными: Иван Петров","tests","2026-05-24","passed","2026-05-24","TestOrderFlow","test_order_page","",""
"Проверяет, что при клике на вопрос FAQ открывается соответствующий ответ","1463","FAQ: открыть вопрос №4","tests","2026-05-24","passed","2026-05-24","","test_main_page","",""
"Проверяет, что при клике на вопрос FAQ открывается соответствующий ответ","1638","FAQ: открыть вопрос №0","tests","2026-05-24","passed","2026-05-24","","test_main_page","",""
"Проверяет, что при клике на вопрос FAQ открывается соответствующий ответ","1716","FAQ: открыть вопрос №2","tests","2026-05-24","passed","2026-05-24","","test_main_page","",""
"Проверяет, что при клике на вопрос FAQ открывается соответствующий ответ","1328","FAQ: открыть вопрос №5","tests","2026-05-24","passed","2026-05-24","","test_main_page","",""
"Проверяет, что при клике на вопрос FAQ открывается соответствующий ответ","1145","FAQ: открыть вопрос №7","tests","2026-05-24","passed","2026-05-24","","test_main_page","",""
"Проверяет открытие сайта Яндекса в новой вкладке при клике по логотипу Яндекс","1889","Открытие Яндекс в новой вкладке","tests","2026-05-24","passed","2026-05-24","TestTransitions","test_transition","",""
"Проверяет, что при клике на вопрос FAQ открывается соответствующий ответ","1376","FAQ: открыть вопрос №1","tests","2026-05-24","passed","2026-05-24","","test_main_page","",""
"Проверяет, что при клике на вопрос FAQ открывается соответствующий ответ","1590","FAQ: открыть вопрос №6","tests","2026-05-24","passed","2026-05-24","","test_main_page","",""
"Проверяет, что при клике на вопрос FAQ открывается соответствующий ответ","1544","FAQ: открыть вопрос №3","tests","2026-05-24","passed","2026-05-24","","test_main_page","",""
